timestamp,open,high,low,close,direction
2025-06-17 09:38,108.0,108.25,108.0,108.25,1
2025-06-17 09:49,108.0,108.0,107.75,107.75,0
2025-06-17 09:57,107.75,107.75,107.5,107.5,0
2025-06-17 10:46,107.5,107.5,107.25,107.25,0
2025-06-17 11:02,107.25,107.25,107.0,107.0,0
2025-06-17 11:56,107.0,107.0,106.75,106.75,0
2025-06-17 12:44,106.75,106.75,106.5,106.5,0
2025-06-17 12:50,106.5,106.5,106.25,106.25,0
2025-06-17 14:36,106.25,106.25,106.0,106.0,0
2025-06-17 14:40,106.0,106.0,105.75,105.75,0
2025-06-18 09:15,105.75,105.75,105.5,105.5,0
2025-06-18 09:39,105.75,106.0,105.75,106.0,1
2025-06-18 09:49,106.0,106.25,106.0,106.25,1
2025-06-18 10:57,106.0,106.0,105.75,105.75,0
2025-06-18 12:49,105.75,105.75,105.5,105.5,0
2025-06-18 14:13,105.5,105.5,105.25,105.25,0
