timestamp,open,high,low,close,direction
2025-06-11 09:32,39.9,39.95,39.9,39.95,1
2025-06-11 09:41,39.9,39.9,39.85,39.85,0
2025-06-11 09:45,39.9,39.95,39.9,39.95,1
2025-06-11 10:10,39.95,40.0,39.95,40.0,1
2025-06-11 11:04,40.0,40.05,40.0,40.05,1
2025-06-11 12:10,40.05,40.1,40.05,40.1,1
2025-06-11 13:12,40.05,40.05,40.0,40.0,0
2025-06-11 13:16,40.0,40.0,39.95,39.95,0
2025-06-11 13:20,39.95,39.95,39.9,39.9,0
2025-06-11 13:23,39.9,39.9,39.85,39.85,0
2025-06-11 13:26,39.85,39.85,39.8,39.8,0
2025-06-11 13:26,39.8,39.8,39.75,39.75,0
2025-06-11 13:29,39.75,39.75,39.7,39.7,0
2025-06-11 13:29,39.7,39.7,39.65,39.65,0
2025-06-11 13:29,39.65,39.65,39.6,39.6,0
2025-06-11 13:30,39.6,39.6,39.55,39.55,0
