timestamp,open,high,low,close,direction
2025-06-16 09:21,73.75,73.75,73.5,73.5,0
2025-06-16 09:23,73.5,73.5,73.25,73.25,0
2025-06-16 09:23,73.25,73.25,73.0,73.0,0
2025-06-16 09:25,73.0,73.0,72.75,72.75,0
2025-06-16 09:29,72.75,72.75,72.5,72.5,0
2025-06-16 09:30,72.5,72.5,72.25,72.25,0
2025-06-16 09:31,72.25,72.25,72.0,72.0,0
2025-06-16 09:32,72.0,72.0,71.75,71.75,0
2025-06-16 09:34,71.75,71.75,71.5,71.5,0
2025-06-16 09:35,71.5,71.5,71.25,71.25,0
2025-06-16 09:38,71.5,71.75,71.5,71.75,1
2025-06-16 09:39,71.5,71.5,71.25,71.25,0
2025-06-16 09:44,71.25,71.25,71.0,71.0,0
2025-06-16 09:52,71.25,71.5,71.25,71.5,1
2025-06-16 10:07,71.5,71.75,71.5,71.75,1
2025-06-16 10:08,71.75,72.0,71.75,72.0,1
