timestamp,open,high,low,close,direction
2025-06-17 12:04,110.25,110.25,110.0,110.0,0
2025-06-17 12:49,110.0,110.0,109.75,109.75,0
2025-06-17 14:35,109.75,109.75,109.5,109.5,0
2025-06-17 14:40,109.5,109.5,109.25,109.25,0
2025-06-18 09:15,109.25,109.25,109.0,109.0,0
2025-06-18 09:45,109.25,109.5,109.25,109.5,1
2025-06-18 09:50,109.5,109.75,109.5,109.75,1
2025-06-18 10:23,109.5,109.5,109.25,109.25,0
2025-06-18 10:52,109.25,109.25,109.0,109.0,0
2025-06-18 10:53,109.0,109.0,108.75,108.75,0
2025-06-18 11:31,108.75,108.75,108.5,108.5,0
2025-06-18 12:19,108.75,109.0,108.75,109.0,1
2025-06-18 13:20,108.75,108.75,108.5,108.5,0
2025-06-18 14:15,108.5,108.5,108.25,108.25,0
2025-06-18 14:26,108.25,108.25,108.0,108.0,0
2025-06-18 14:45,108.25,108.5,108.25,108.5,1
