timestamp,open,high,low,close,direction
2025-06-17 10:46,241.0,241.0,240.5,240.5,0
2025-06-17 10:48,240.5,240.5,240.0,240.0,0
2025-06-17 11:15,240.0,240.0,239.5,239.5,0
2025-06-17 11:55,239.5,239.5,239.0,239.0,0
2025-06-17 12:34,239.0,239.0,238.5,238.5,0
2025-06-17 12:50,238.5,238.5,238.0,238.0,0
2025-06-18 09:19,238.0,238.0,237.5,237.5,0
2025-06-18 09:27,238.0,238.5,238.0,238.5,1
2025-06-18 09:32,238.5,239.0,238.5,239.0,1
2025-06-18 10:06,239.0,239.5,239.0,239.5,1
2025-06-18 10:48,239.0,239.0,238.5,238.5,0
2025-06-18 10:52,238.5,238.5,238.0,238.0,0
2025-06-18 12:26,238.0,238.0,237.5,237.5,0
2025-06-18 12:44,237.5,237.5,237.0,237.0,0
2025-06-18 13:51,237.0,237.0,236.5,236.5,0
2025-06-18 14:15,236.5,236.5,236.0,236.0,0
